Id,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Citizen,Income,Category
0,1,30.83,0,1,0,12,7,1.25,1,1,1,0,0,0
1,0,58.67,4.46,1,0,10,3,3.04,1,1,6,0,560,0
3,1,27.83,1.54,1,0,12,7,3.75,1,1,5,0,3,0
4,1,20.17,5.625,1,0,12,7,1.71,1,0,0,2,0,0
5,1,32.08,4,1,0,9,7,2.5,1,0,0,0,0,0
7,0,22.92,11.585,1,0,2,7,0.04,1,0,0,0,1349,0
8,1,54.42,0.5,2,2,8,3,3.96,1,0,0,0,314,0
9,1,42.5,4.915,2,2,12,7,3.165,1,0,0,0,1442,0
11,1,29.92,1.835,1,0,1,3,4.335,1,0,0,0,200,0
12,0,38.25,6,1,0,8,7,1,1,0,0,0,0,0
13,1,48.08,6.04,1,0,8,7,0.04,0,0,0,0,2690,0
14,0,45.83,10.5,1,0,10,7,5,1,1,7,0,0,0
15,1,36.67,4.415,2,2,8,7,0.25,1,1,10,0,0,0
16,1,28.25,0.875,1,0,9,7,0.96,1,1,3,0,0,0
17,0,23.25,5.875,1,0,10,7,3.17,1,1,10,0,245,0
19,0,19.17,8.585,1,0,2,3,0.75,1,1,7,0,0,0
20,1,25,11.25,1,0,1,7,2.5,1,1,17,0,1208,0
21,1,23.25,1,1,0,1,7,0.835,1,0,0,2,0,0
22,0,47.75,8,1,0,1,7,7.875,1,1,6,0,1260,0
23,0,27.42,14.5,1,0,13,3,3.085,1,1,1,0,11,0
25,0,15.83,0.585,1,0,1,3,1.5,1,1,2,0,0,0
26,0,47,13,1,0,6,0,5.165,1,1,9,0,0,0
27,1,56.58,18.5,1,0,3,0,15,1,1,17,0,0,0
28,1,57.42,8.5,1,0,4,3,7,1,1,3,0,0,0
29,1,42.08,1.04,1,0,12,7,5,1,1,6,0,10000,0
32,1,49.5,7.585,1,0,6,0,7.585,1,1,15,0,5000,0
33,0,36.75,5.125,1,0,4,7,5,1,0,0,0,4000,0
34,0,22.58,10.75,1,0,10,7,0.415,1,1,5,0,560,0
35,1,27.83,1.5,1,0,12,7,2,1,1,11,0,35,0
36,1,27.25,1.585,1,0,2,3,1.835,1,1,12,0,713,0
37,0,23,11.75,1,0,13,3,0.5,1,1,2,0,551,0
38,1,27.75,0.585,2,2,2,7,0.25,1,1,2,0,500,0
40,1,34.17,9.17,1,0,1,7,4.5,1,1,12,0,221,0
42,1,29.67,1.415,1,0,12,3,0.75,1,1,1,0,100,0
43,1,39.58,13.915,1,0,12,7,8.625,1,1,6,0,0,0
45,1,54.33,6.75,1,0,1,3,2.625,1,1,11,0,284,0
46,0,41,2.04,2,2,10,3,0.125,1,1,23,0,1236,0
47,1,31.92,4.46,1,0,2,3,6.04,1,1,3,0,300,0
48,1,41.5,1.54,1,0,6,0,3.5,0,0,0,0,0,0
50,0,25.75,0.5,1,0,1,3,0.875,1,0,0,0,0,0
52,1,37.42,2.04,1,0,12,7,0.04,1,0,0,0,5800,0
53,1,34.92,2.5,1,0,12,7,0,1,0,0,0,200,0
57,1,44.33,0.5,1,0,6,3,5,1,0,0,0,0,0
58,1,35.17,4.5,1,0,13,3,5.75,0,0,0,2,0,0
59,1,43.25,3,1,0,10,3,6,1,1,11,0,0,0
61,1,31.67,16.165,1,0,3,7,3,1,1,9,0,730,0
62,0,23.42,0.79,2,2,10,7,1.5,1,1,2,0,400,0
64,1,26.67,4.25,1,0,2,7,4.29,1,1,1,0,0,0
66,0,36,1,1,0,1,7,2,1,1,11,0,456,0
67,1,25.5,0.375,1,0,9,7,0.25,1,1,3,0,15108,0
68,1,19.42,6.5,1,0,12,3,1.46,1,1,7,0,2954,0
71,1,34.83,4,1,0,3,0,12.5,1,0,0,0,0,1
73,1,44.25,0.5,1,0,9,7,10.75,1,0,0,2,0,1
74,1,44.83,7,2,2,1,7,1.625,0,0,0,0,2,1
75,1,20.67,5.29,1,0,10,7,0.375,1,1,1,0,0,1
79,1,21.5,9.75,1,0,1,7,0.25,1,0,0,0,0,1
80,1,49.58,19,1,0,5,2,0,1,1,1,0,0,1
83,0,31.56817109,3.5,1,0,3,7,3,1,0,0,0,0,1
84,1,27.25,0.625,1,0,0,7,0.455,1,0,0,0,0,1
85,1,37.17,4,1,0,1,0,5,1,0,0,2,0,1
87,1,25.67,2.21,2,2,0,7,4,1,0,0,0,0,1
88,1,34,4.5,1,0,0,7,1,1,0,0,0,0,1
